date,DEXUSUK
2017-06-06,1.9563
2017-06-07,1.9695
2017-06-08,1.9758
2017-06-09,1.9543
2017-06-12,1.9646
2017-06-13,1.9467
2017-06-14,1.9496
2017-06-15,1.9637
2017-06-16,1.9544
2017-06-19,1.957
2017-06-20,1.9729
2017-06-21,1.9737
2017-06-22,1.9609
2017-06-23,1.9707
2017-06-26,1.9672
2017-06-27,1.9873
2017-06-28,1.9938
2017-06-29,1.9906
2017-06-30,1.993
2017-07-03,1.9925
2017-07-04,1.9825
2017-07-06,1.9697
2017-07-07,1.9685
2017-07-10,1.9812
2017-07-11,1.9777
2017-07-12,1.9895
2017-07-13,1.9925
2017-07-14,2.0036
2017-07-17,1.9995
2017-07-18,2.0038
2017-07-19,1.9985
2017-07-20,1.9979
2017-07-21,1.9941
2017-07-24,2.0021
2017-07-25,1.9832
2017-07-26,1.988
2017-07-27,1.9943
2017-07-28,1.9805
2017-07-31,1.981
2017-08-01,1.9806
2017-08-02,1.9743
2017-08-03,1.9606
2017-08-04,1.9532
2017-08-07,1.9479
2017-08-08,1.9439
2017-08-09,1.9193
2017-08-10,1.9144
2017-08-11,1.9005
2017-08-14,1.8682
2017-08-15,1.8715
2017-08-16,1.8651
2017-08-17,1.8673
2017-08-18,1.8655
2017-08-21,1.8603
2017-08-22,1.8758
2017-08-23,1.8544
2017-08-24,1.8587
2017-08-25,1.8387
2017-08-28,1.8318
2017-08-29,1.8264
2017-08-30,1.819
2017-09-01,1.7853
2017-09-04,1.7795
2017-09-05,1.7689
2017-09-06,1.7687
2017-09-07,1.7543
2017-09-08,1.7672
2017-09-11,1.7547
2017-09-12,1.7497
2017-09-13,1.7896
2017-09-14,1.7877
2017-09-15,1.7802
2017-09-18,1.7895
2017-09-19,1.8186
2017-09-20,1.8297
2017-09-21,1.8484
2017-09-22,1.8558
2017-09-25,1.8502
2017-09-26,1.8406
2017-09-27,1.84
2017-09-28,1.8044
2017-09-29,1.7804
2017-10-02,1.7804
2017-10-03,1.7655
2017-10-04,1.774
2017-10-05,1.738
2017-10-06,1.7592
2017-10-09,1.731
2017-10-10,1.7225
2017-10-11,1.7037
2017-10-13,1.7482
2017-10-16,1.7432
2017-10-17,1.7243
2017-10-18,1.7307
2017-10-19,1.7134
2017-10-20,1.6837
2017-10-23,1.6174
2017-10-24,1.6181
2017-10-25,1.5631
2017-10-26,1.5472
2017-10-27,1.5591
2017-10-30,1.6298
2017-10-31,1.627
2017-11-01,1.6165
2017-11-02,1.5855
2017-11-03,1.6095
2017-11-06,1.6156
2017-11-07,1.5814
2017-11-08,1.5788
2017-11-09,1.5639
2017-11-13,1.5012
2017-11-14,1.4799
2017-11-15,1.486
2017-11-16,1.503
2017-11-17,1.5042
2017-11-20,1.5095
2017-11-21,1.4789
2017-11-22,1.4816
2017-11-23,1.5177
2017-11-24,1.5349
2017-11-27,1.5218
2017-11-29,1.5348
2017-11-30,1.484
2017-12-01,1.4949
2017-12-04,1.4783
2017-12-05,1.4791
2017-12-06,1.4606
2017-12-07,1.4831
2017-12-08,1.4776
2017-12-11,1.483
2017-12-12,1.4953
2017-12-13,1.4874
2017-12-14,1.5278
2017-12-15,1.532
2017-12-18,1.5457
2017-12-19,1.5103
2017-12-20,1.4854
2017-12-21,1.4805
2017-12-22,1.4761
2017-12-25,1.4673
2017-12-27,1.47
2017-12-28,1.4591
2017-12-29,1.4395
2018-01-01,1.4619
2018-01-03,1.452
2018-01-04,1.4602
2018-01-05,1.4777
2018-01-08,1.5254
2018-01-09,1.519
2018-01-10,1.5239
2018-01-11,1.4827
2018-01-12,1.4528
2018-01-15,1.4617
2018-01-16,1.4602
2018-01-17,1.4737
2018-01-19,1.4023
2018-01-22,1.3728
2018-01-23,1.384
2018-01-24,1.3658
2018-01-25,1.396
2018-01-26,1.4148
2018-01-29,1.4317
2018-01-30,1.4262
2018-01-31,1.4413
2018-02-01,1.4228
2018-02-02,1.4394
2018-02-05,1.4472
2018-02-06,1.4633
2018-02-07,1.4775
2018-02-08,1.4936
2018-02-09,1.4604
2018-02-12,1.4367
2018-02-13,1.4248
2018-02-14,1.4422
2018-02-16,1.4224
2018-02-19,1.4235
2018-02-20,1.4307
2018-02-21,1.4333
2018-02-22,1.4553
2018-02-23,1.4408
2018-02-26,1.4265
2018-02-27,1.4342
2018-02-28,1.4276
2018-03-01,1.3989
2018-03-02,1.4034
2018-03-05,1.4142
2018-03-06,1.4124
2018-03-07,1.411
2018-03-08,1.3757
2018-03-09,1.384
2018-03-12,1.378
2018-03-13,1.3811
2018-03-14,1.3972
2018-03-15,1.4091
2018-03-16,1.4018
2018-03-19,1.3974
2018-03-20,1.4584
2018-03-21,1.4435
2018-03-22,1.4496
2018-03-23,1.473
2018-03-26,1.4585
2018-03-27,1.4497
2018-03-28,1.4325
2018-03-29,1.4148
2018-03-30,1.43
2018-04-02,1.4402
2018-04-03,1.47
2018-04-04,1.4801
2018-04-05,1.4712
2018-04-06,1.4744
2018-04-09,1.4692
2018-04-10,1.4623
2018-04-11,1.4635
2018-04-12,1.4831
2018-04-13,1.4907
2018-04-16,1.499
2018-04-17,1.4909
2018-04-18,1.4778
2018-04-19,1.4532
2018-04-20,1.4688
2018-04-23,1.4496
2018-04-24,1.4635
2018-04-25,1.4697
2018-04-26,1.4678
2018-04-27,1.4607
2018-04-30,1.4802
2018-05-01,1.4799
2018-05-02,1.4881
2018-05-03,1.4985
2018-05-04,1.5099
